sku,product_name,price,brand,material,shape,dimension,origin,quantity_available,product_url
SI-50232 51 F019,STEPPER SI-50232,2600000 ,STEPPER,Titanium,Chữ nhật,52-16,Trung,3,https://kinhmatviettin.vn/products/stepper-si-50232-51-f019
SI-50067 53 F019,STEPPER SI-50067,2600000 ,STEPPER,Titanium,Chữ nhật,52-17-135,Trung,3,https://kinhmatviettin.vn/products/stepper-si-50067-53-f019
SA-71011 56 F010,STEPPER SA-71011,3350000 ,STEPPER,Titanium,Chữ nhật,56-16-145,Trung,4,https://kinhmatviettin.vn/products/stepper-sa-71011-56-f010
83441 51 W1,PARIM 83441,1590000 ,PARIM,Nhựa/kim loại,Đa giác,51-19-147,Trung,6,https://kinhmatviettin.vn/products/parim-83441-51-w1
JL99002 51,JILLSTUART JL99002,2600000 ,JILL STUART,Titanium/ Nhựa,Tròn,51-20-145,Trung,1,https://kinhmatviettin.vn/products/jillstuart-jl99002-51-c02
H83020 54,HELEN KELLER H83020,1200000 ,HELEN KELLER,Nhựa/kim loại,Vuông,54-150,Trung,3,https://kinhmatviettin.vn/products/helen-keller-h83020-54-c1m2
VCHL46J 55 0594,CHOPARD VCHL46J,21800000 ,CHOPARD,Mạ vàng,Chữ nhật,55-16-145,Mỹ,4,https://kinhmatviettin.vn/products/chopard-vchl46j-55-0594
58 COL.0579,CHOPARD VCHG43J,18900000 ,CHOPARD,Kim loại,Chữ nhật,58-16-145,Mỹ,4,https://kinhmatviettin.vn/products/chopard-vchg43j-58-col0579
2014 53 COL 02,VUILLET VEGA PRESTIGE 2014,12380000 ,GERARD VUILLET,Mạ vàng,Chữ nhật,53-19-145,Pháp,17,https://kinhmatviettin.vn/products/vuillet-vega-prestige-2014-53-col-02
R 56 COL.30,GERARD VUILLET SUNDAY R 56,22380000 ,GERARD VUILLET,Mạ vàng,Chữ nhật,56-18-145,Pháp,19,https://kinhmatviettin.vn/products/gerard-vuillet-sunday-r-56-col30
C 57 COL30,GERARD VUILLET LEGEND C 57,20680000 ,GERARD VUILLET,Mạ vàng,Chữ nhật,57-19-140,Pháp,11,https://kinhmatviettin.vn/products/gerard-vuillet-legend-c-57-col30
C 54 COL30,GERARD VUILLET LEGEND C 54,20680000 ,GERARD VUILLET,Mạ vàng,Chữ nhật,54-18-140,Pháp,9,https://kinhmatviettin.vn/products/gerard-vuillet-legend-c-54-col30
3 VPLB48 55 COL.0Z42,POLICE SYNTH 3 VPLB48,2600000 ,POLICE,Nhựa,Chữ nhật,55-16-145,Trung,1,https://kinhmatviettin.vn/products/police-synth-3-vplb48-55-col0z42
MH1 AXS634/C29,MINIMA MH1 AXS634,8980000 ,MINIMA,Titanium,Chữ nhật,48-19-148,Pháp,5,https://kinhmatviettin.vn/products/minima-mh1-axs634c29
MH1 AXS623A/C23,MINIMA MH1 AXS623A,8980000 ,MINIMA,Titanium/Nhựa,Oval,49-19-148,Pháp,2,https://kinhmatviettin.vn/products/minima-mh1-axs623ac23
M511C F954,MINIMA M511C F954,9280000 ,MINIMA,Titanium,Chữ nhật,54-18-144,Pháp,23,https://kinhmatviettin.vn/products/minima-m511c-o2f954
M511 F954,MINIMA M511 F954,8980000 ,MINIMA,Titanium,Chữ nhật,54-18-144,Pháp,7,https://kinhmatviettin.vn/products/minima-m511-tp5f954
M72C F996,MINIMA M72C F996,9680000 ,MINIMA,Titanium,Chữ nhật,55-19-144,Pháp,7,https://kinhmatviettin.vn/products/minima-m72c-o74f996
M72 F996,MINIMA M72 F996,9680000 ,MINIMA,Titanium,Chữ nhật,55-18-144,Pháp,7,https://kinhmatviettin.vn/products/minima-m72-t63f996
M70C O76/F968,MINIMA M70C O76/F968,9680000 ,MINIMA,Titanium,Đa giác,53-19-139,Pháp,5,https://kinhmatviettin.vn/products/minima-m70c-o76f968
